timestamp_utc,stage,detail
2026-08-14T15:00:37.624784+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:00:37.624834+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:00:37.624883+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:05:26.325745+00:00,client_ok,paper trading client constructed
2026-08-14T15:05:26.326056+00:00,skip_extreme,HHS: relvol=157.5 > 50.0
2026-08-14T15:05:26.326154+00:00,skip_extreme,CGTL: relvol=122.3 > 50.0
2026-08-14T15:05:26.420609+00:00,equity,100000.00
2026-08-14T15:05:27.193461+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:05:27.193590+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:05:27.193674+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:05:27.193754+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:05:27.193833+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:10:30.179101+00:00,client_ok,paper trading client constructed
2026-08-14T15:10:30.314961+00:00,skip_extreme,HHS: relvol=161.0 > 50.0
2026-08-14T15:10:30.315105+00:00,skip_extreme,CGTL: relvol=123.0 > 50.0
2026-08-14T15:10:30.510468+00:00,equity,100000.00
2026-08-14T15:10:32.152109+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:10:32.152216+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:10:32.152299+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:10:32.152384+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:10:32.152460+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:15:27.202181+00:00,client_ok,paper trading client constructed
2026-08-14T15:15:27.202442+00:00,skip_extreme,HHS: relvol=161.0 > 50.0
2026-08-14T15:15:27.202536+00:00,skip_extreme,CGTL: relvol=123.0 > 50.0
2026-08-14T15:15:27.449747+00:00,equity,100000.00
2026-08-14T15:15:29.477442+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:15:29.477553+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:15:29.477636+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:15:29.477713+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:15:29.477786+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:20:31.261411+00:00,client_ok,paper trading client constructed
2026-08-14T15:20:31.261700+00:00,skip_extreme,HHS: relvol=161.0 > 50.0
2026-08-14T15:20:31.261762+00:00,skip_extreme,CGTL: relvol=123.0 > 50.0
2026-08-14T15:20:31.485277+00:00,equity,100000.00
2026-08-14T15:20:33.191750+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:20:33.191864+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:20:33.191915+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:20:33.191955+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:20:33.191991+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:25:23.835030+00:00,client_ok,paper trading client constructed
2026-08-14T15:25:23.835287+00:00,skip_extreme,HHS: relvol=161.0 > 50.0
2026-08-14T15:25:23.835414+00:00,skip_extreme,CGTL: relvol=123.0 > 50.0
2026-08-14T15:25:23.890672+00:00,equity,100000.00
2026-08-14T15:25:24.264075+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:25:24.264172+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:25:24.264257+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:25:24.264358+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:25:24.264442+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:30:25.603059+00:00,client_ok,paper trading client constructed
2026-08-14T15:30:25.723024+00:00,skip_extreme,HHS: relvol=164.3 > 50.0
2026-08-14T15:30:25.723126+00:00,skip_extreme,CGTL: relvol=126.7 > 50.0
2026-08-14T15:30:26.126039+00:00,equity,100000.00
2026-08-14T15:30:26.531366+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:30:26.531478+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:30:26.531585+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:30:26.531673+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:30:26.531751+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:35:25.885860+00:00,client_ok,paper trading client constructed
2026-08-14T15:35:25.886126+00:00,skip_extreme,HHS: relvol=164.3 > 50.0
2026-08-14T15:35:25.886210+00:00,skip_extreme,CGTL: relvol=126.7 > 50.0
2026-08-14T15:35:25.946346+00:00,equity,100000.00
2026-08-14T15:35:26.448080+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:35:26.448194+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:35:26.448268+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:35:26.448332+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:35:26.448392+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:40:26.035698+00:00,client_ok,paper trading client constructed
2026-08-14T15:40:26.035977+00:00,skip_extreme,HHS: relvol=164.3 > 50.0
2026-08-14T15:40:26.036074+00:00,skip_extreme,CGTL: relvol=126.7 > 50.0
2026-08-14T15:40:26.140860+00:00,equity,100000.00
2026-08-14T15:40:27.412078+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:40:27.412187+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:40:27.412270+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:40:27.412349+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:40:27.412424+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:45:29.122927+00:00,client_ok,paper trading client constructed
2026-08-14T15:45:29.275336+00:00,skip_extreme,HHS: relvol=172.8 > 50.0
2026-08-14T15:45:29.275446+00:00,skip_extreme,CGTL: relvol=130.1 > 50.0
2026-08-14T15:45:29.482610+00:00,equity,100000.00
2026-08-14T15:45:31.087045+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:45:31.087161+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:45:31.087245+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:45:31.087326+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:45:31.087403+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:50:28.145107+00:00,client_ok,paper trading client constructed
2026-08-14T15:50:28.145386+00:00,skip_extreme,HHS: relvol=172.8 > 50.0
2026-08-14T15:50:28.145467+00:00,skip_extreme,CGTL: relvol=130.1 > 50.0
2026-08-14T15:50:28.193796+00:00,equity,100000.00
2026-08-14T15:50:28.645946+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:50:28.646096+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:50:28.646171+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:50:28.646235+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:50:28.646328+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T15:55:25.400940+00:00,client_ok,paper trading client constructed
2026-08-14T15:55:25.401245+00:00,skip_extreme,HHS: relvol=172.8 > 50.0
2026-08-14T15:55:25.401342+00:00,skip_extreme,CGTL: relvol=130.1 > 50.0
2026-08-14T15:55:25.672088+00:00,equity,100000.00
2026-08-14T15:55:26.182223+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T15:55:26.182342+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T15:55:26.182428+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T15:55:26.182507+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T15:55:26.182584+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T16:00:31.929632+00:00,client_ok,paper trading client constructed
2026-08-14T16:00:32.046612+00:00,skip_extreme,CGTL: relvol=130.7 > 50.0
2026-08-14T16:00:32.046717+00:00,skip_extreme,HHS: relvol=175.6 > 50.0
2026-08-14T16:00:32.285203+00:00,equity,100000.00
2026-08-14T16:00:34.205995+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T16:00:34.206113+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T16:00:34.206199+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T16:00:34.206278+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T16:00:34.206354+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T16:05:26.560397+00:00,client_ok,paper trading client constructed
2026-08-14T16:05:26.560665+00:00,skip_extreme,CGTL: relvol=130.7 > 50.0
2026-08-14T16:05:26.560748+00:00,skip_extreme,HHS: relvol=175.6 > 50.0
2026-08-14T16:05:26.625462+00:00,equity,100000.00
2026-08-14T16:05:27.349550+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T16:05:27.349670+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T16:05:27.349741+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T16:05:27.349804+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T16:05:27.349862+00:00,skip_watching,WETO: no fresh first-pullback signal
